title,image_url,video_url,source,category,author,summary,instructions,teaching_points,variations,tags,classified,position,starting_zone,ending_zone,situation,hockey_skills,complexity
Pit Chaos Handling with Passes,https://www.files.icehockeysystems.com/files/drills/drill-maker-2625946-0-1729699956.png,https://vimeo.com/858767129,IHS,,Global Hockey Network,"The Pit Chaos Handling With Passing drill is an excellent activity that helps players work on awareness, puck handling, and passing skills. This drill can be used as a warm-up in practice or games, or as a drill to reinforce keeping your head up.","Setup 2, 3, or 4 players in the middle of a face-off circle. The more players involved will increase the difficulty of the drill because there will be more skaters to pass & stickhandle around. Setup 3 or 4 players around the outside of a circle. On the whistle, the players in the middle of the circle begin stickhandling within the border of the circle. The players on the outside begin passing the puck to each other. After 20-30 seconds, players rotate.","['Encourage players to keep their heads up and scan the ice.', 'Players stickhandling should work to get to open space.', 'Players passing the puck scan the ice and think ahead as to where they would pass the puck before they get it.']","['Can set up in different areas of the ice.', 'Coaches can require two touch or one touch passes for higher skilled groups.', 'Can increase or decrease the # of players involved. More players inside the circle will make the drill more challenging.']","['Awareness', 'Half Ice', 'Passing', 'Pre Game', 'Puck Control', 'Puck Handling', 'Puck Protection', 'Skill Development', 'Stations', 'Quarter Ice Station', 'Stickhandling', 'Warm Up']",True,"['Forward', 'Defence']",Unknown,Unknown,"['Faceoff', 'Small Area Game']","['Skating', 'Passing', 'Stickhandling']",Intermediate
Corner to Half Wall 2 vs 1,https://www.files.icehockeysystems.com/files/styles/medium/public/drills/drill-maker-7183266-0-1750945059.png?itok=Vx3lkDiP,https://vimeo.com/359069890,IHS,,Ice Hockey Systems,"The Corner to Half Wall 2 vs 1 is an excellent small area game for all age levels that helps players practice a 2 vs 1 in a small space along the boards in the corner of the ice. The game reinforces important skills like keeping your head up, moving to open spaces, protecting the puck, and verbal & non-verbal communication.Offensive players should practice using the boards to make bank passes.","Playing Area:Use 4 cones or tires that create a triangle from the half wall to the corner that lines up with the inside post. Goalie Setup:This can be set up as a station with a goalie, or without. If you use a goalie they can be placed in the crease or the net can be moved to the point. Players:Alternate players. It is beneficial for players to get reps on both offense and defense sides. Passes:You can require 4 (or a different amount) of consecutive passes to win. Defense:If the defense is taking the puck away too much, you can tell the defense to flip their stick over. Winner:The winning side gets a shot on net. You can allow the winners to do a few options:If the offense wins:The last person with the puck gets a shot on net.Both players are given a puck and can shoot on different goalies.The game moves to a 2 vs 1 in front of the net and offense is allowed one shot if they can get it off.If the defense wins:They get a shot on net.The game moves to a 1 on 1 in front of the net and the defense is allowed one shot if they can get it off. The losing offense team needs to communicate with each other as to who is going to go after the defense. If the offense wins:The last person with the puck gets a shot on net.Both players are given a puck and can shoot on different goalies.The game moves to a 2 vs 1 in front of the net and offense is allowed one shot if they can get it off. The last person with the puck gets a shot on net. Both players are given a puck and can shoot on different goalies. The game moves to a 2 vs 1 in front of the net and offense is allowed one shot if they can get it off. If the defense wins:They get a shot on net.The game moves to a 1 on 1 in front of the net and the defense is allowed one shot if they can get it off. The losing offense team needs to communicate with each other as to who is going to go after the defense. They get a shot on net. The game moves to a 1 on 1 in front of the net and the defense is allowed one shot if they can get it off. The losing offense team needs to communicate with each other as to who is going to go after the defense.","['Use the boards! They are your friend!If used properly, the boards can be used as an extra player out there and are helpful for bank passes and puck protection.', 'If used properly, the boards can be used as an extra player out there and are helpful for bank passes and puck protection.', 'Offensive players need to protect the puck until they can make a play and then expose the puck to make a pass.', 'Offensive players have to move without the puck. Think ""Give & Go!"" Go to open space!', 'Defensive players are most successful with active sticks and stop and starts. There are no short cuts!']","['Require more consecutive passes.', 'Make the game 2 vs 2.', 'Create a smaller ""playing area"" to make it tougher on the offense.', 'Move to thePoint to Half Wall 2 vs 1 Game.']","['2 on 1', 'Battle Drills', 'Half Ice', 'Offensive', 'Small Area Games', 'Stations', 'Wall Play']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,['Small Area Game'],"['Skating', 'Passing', 'Stickhandling', 'Communication']",Intermediate
Swedish 2 vs 1 (Cross Ice),https://www.files.icehockeysystems.com/files/drills/drill-maker-99301-0-1721412866.png,https://vimeo.com/342763238,IHS,,Ice Hockey Systems,"This is a phenomenal drill in several ways. First, the concept of this drill can be used in many different areas of the ice. Secondly, it forces players to think 2 on 1's in tight spaces. Third, it includes a competitive aspect by rewarding the players who are successful.",,"['Offensive players have to move without the puck.', 'Offensive players need to protect the puck until they can make a play and then expose the puck to make a pass.', 'Defensive players are most successful with active sticks and stop and starts. There really are no short cuts!', 'Have offensive players thinking ""Pass & Move"".', 'Give & gos are very successful in this game.']","['Create a smaller ""playing area"" to make it tougher on the offense.', 'Vary the number of passes required for the offensive players.', 'Eventually, make the game 2 vs 2 or 3 vs 2.']","['2 on 1', 'Small Area Games', 'Stations', 'Third Ice Stations']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,['Small Area Game'],"['Skating', 'Passing', 'Stickhandling']",Intermediate
Paint Scoring,https://www.files.icehockeysystems.com/files/drills/drill-maker-150271-0-1743905436.png,https://vimeo.com/421339717/9be3db1982,IHS,,Newedge Hockey,"The Paint Scoring Drill is one where players will see how fast they can score three pucks. Players will be able to work on finishing using backhands, one timers, and wrist/snap shots. To set up the drill place a couple barriers stacked on top of each other in front of the net. Another net placed face down (or another type of object that you can use to bounce pucks off of) at about the hash marks directly in front of the net. The first player starts about a sticl length away from the face down net and the drill operates as follows:",,[],[],"['Offensive', 'Shooting', 'Stations', 'Sixth Ice Stations']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,['Offensive Play'],"['Shooting', 'Stickhandling']",Intermediate
Gates of Buffalo Small Area Passing Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-103971-0-1744828737.png,https://vimeo.com/356044514/7ec320c386,IHS,,Ice Hockey Systems,"The major concept of the Gates of Buffalo Small Area Hockey Game is to practice moving to open space, communicating verbally and non-verbally with teammates, so they can score Goals by passing through Gates.","Players:great for 3, 4 or 5 players at a time. Time:You can rotate through groups of players in 30, 45 or 60 second shifts and count how many goals are scored.Or you can set a number of goals (let's use 5 for example) and stop the watch after 5 goals are completed.5 players can be participating in the activity, while another 5 rest. Blow the whistle and the next 5 jump in.It gets fun when the teams compete against each other! Or you can set a number of goals (let's use 5 for example) and stop the watch after 5 goals are completed. 5 players can be participating in the activity, while another 5 rest. Blow the whistle and the next 5 jump in.It gets fun when the teams compete against each other! Space:can be set up to be within a zone, or half of a zone (station) or a smaller area. The smaller the space, the more challenging it will be for the players as they are forced to make quicker decisions. Added Challenge:add obstacles within the space to challenge the players further.Tires, cones, sticks, defenceman, etc placed in the space will make it harder to pass and skate around. As time goes on the added obstacles will help improve their reaction & decision making. Tires, cones, sticks, defenceman, etc placed in the space will make it harder to pass and skate around. As time goes on the added obstacles will help improve their reaction & decision making. Group Competition:After the group gets comfortable with the exercises, you can add a natural element of competition between the groups by counting the number of successful goals made in the specified amount of time.Or you can time each group and see how fast they can complete 5 (or any other number) goals. You will marvel at how the natural element of competition between groups will make the game more intense, competitive and fun! Or you can time each group and see how fast they can complete 5 (or any other number) goals. You will marvel at how the natural element of competition between groups will make the game more intense, competitive and fun! With a Goalie:You can require the players to make 2 (or more) passes through a gate before they can shoot on net. After they shoot on net, they need to make the required number of passes through the gates again. Pucks:You can add in 2 or more pucks at a time to make players pay more attention to the game and their surroundings. Gates:You can add 3 or more gates. They can be made of tires, cones, pucks and other materials. Change up the sizes of the gates for an extra challenge. The smaller the gate, the more challenging the game is! 3 vs 3 Game:You can setup gates and make the game 3 v 3, 3 vs 2, or 3 vs 1 so there is another team working to prevent scoring on the gates. Adding additional players for the team to play against will give the game a whole new spin.View a video demo of the 3 vs 3 game setup.","['Encourage players to always move to open space on the ice. Do not allow them to stand still and pass the puck back and forth.', 'Encourage players to find ""passing lanes"" to allow good passes.This skill is extremely valuable for youth players to work on. Finding passing lanes when you have the puck and jumping to open space when you don\'t have the puck so your teammate can pass to you is extremely beneficial during games.', ""This skill is extremely valuable for youth players to work on. Finding passing lanes when you have the puck and jumping to open space when you don't have the puck so your teammate can pass to you is extremely beneficial during games."", 'Encourage verbal communication (calling teammate by name, saying you are open, etc).', 'Encourage non-verbal communication (good eye contact, showing a passing target, tapping a stick, etc).', 'Allow players to make mistakes.It will take time to get comfortable with these activities. But as time goes on you will see them picking their head up to make a decision, which is the goal of this small area game.']",[],"['Half Ice', 'Passing', 'Puck Control', 'Small Area Games', 'Stations', 'Warm Up']",True,"['Forward', 'Defence']",All Zones,All Zones,['Small Area Game'],"['Skating', 'Passing', 'Stickhandling', 'Communication']",Intermediate
Pioneer 2 V 2 Rush,https://www.files.icehockeysystems.com/files/drills/drill-maker-2052021-0-1728397437.png,https://vimeo.com/784999967,IHS,,Brock University,"The Pioneer 2 V 2 Rush fromTJ Manastersky, the Head Coach ofBrock University, practices attacking and defending the rush. It starts as a 1 V 1, and finishes as a 2 V 2.","On the 1st whistle, blue passes to red. Red must get outside the blue line before attacking the zone 1v1. Blue must get angle skating forwards. Play it out until a whistle. On the second whistle, 2 things happen:the blue player in the other zone passes to the red player. The red player must get outside the blue line before they can attack.the players in the first 1 v 1 stop and skate down to the other end of the ice to join their teammates to make it a 2 v 2. the blue player in the other zone passes to the red player. The red player must get outside the blue line before they can attack. the players in the first 1 v 1 stop and skate down to the other end of the ice to join their teammates to make it a 2 v 2. It becomes a continuous 2v2.","['Communicate on defense, ""get sticky"" on backcheck']",[],"['1 on 1', '2 on 2', 'Angling', 'Backchecking', 'Coverage', 'Full Ice', 'Gap', 'Overspeed', 'Transition', 'Zone Entry']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,"['Zone Entry', 'Transition']","['Angling', 'Backcheck', 'Communication']",Intermediate
Hit The Tire Passing Game WIth No Goalie,https://www.files.icehockeysystems.com/files/drills/drill-maker-2630636-0-1744822320.png,https://vimeo.com/858253182,IHS,,Global Hockey Network,Hit The Tire Passing Game is a fun small area game that can be utilized when coaches want to work on passing and puck support concepts and/or there are no goalies available.,"Place a tire on each of the face-off dots inside of a zone. Play 3 v 3. The offensive team scores by hitting the tire in the opposite circle. Offensive team cannot enter the offensive circle, but the defensive team is allowed in the defensive circle. Object is to move the puck quickly to open up passing or scoring lanes.","['Puck carrier should use deception, and tight turns to create space and passing lanes.', 'Offensive players without the puck should jump to open space with their stick on the ice to support their teammate and be an outlet.', 'Defensive players should keep their sticks on the ice to disrupt passing lanes and keep the offensive team to the outside.']","['For younger age levels that struggle to hit the tire, you can allow the offensive team inside the offensive zone circle.', 'Coaches can call out Power Play and allow a team to have an extra player to make it a 4 v 3.']","['3 on 3', 'Coverage', 'Half Ice', 'Puck Control', 'Puck Protection', 'Small Area Games']",True,"['Forward', 'Defence']",Unknown,Unknown,['Small Area Game'],"['Passing', 'Stickhandling']",Intermediate
Picket Fences Game (2 vs. 2 or 3 vs. 3),https://www.files.icehockeysystems.com/files/drills/drill-maker-155121-0-1744828896.png,https://vimeo.com/434166992/c2f73a4a19,IHS,,Ben Eaves,Picket Fences is a great small area hockey game that can be setup as a 2 vs. 2 or 3 vs. 3 game. The offensive team gets2points for scoring a goaland the defensive team gets1pointby skating the puck between the tires.,Teams are set up in one of the offensive zones in line with Dots.Players help keep the puck in play if it comes over towards the line of players Players help keep the puck in play if it comes over towards the line of players Net is set up in the Blue Paint (per usual) There are two cones 10-15 feet apart just above the tops of the circles in the zone Coaches set up just outside the Blue Line with a pile of pucks,[],[],"['2 on 2', '3 on 3', 'Defensive', 'Defensive Zone', 'Half Ice', 'Offensive', 'Offensive Zone', 'One Goalie', 'Small Area Games']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,['Small Area Game'],[],Intermediate
Sully 2 on 2 Transition Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-6892911-0-1742979557.png,https://vimeo.com/1067058133,IHS,,Michael Peca,"The Sully 2 on 2 Transition Game fromMichael Peca, is a high-tempo small-area game designed to develop quick transition skills, offensive movement, and defensive awareness. The drill encourages players to convert defense into offense efficiently while emphasizing strong defensive details and communication.","Coach Placement:The coach starts with a puck at center ice and deposits it into the offensive zone. The coach starts with a puck at center ice and deposits it into the offensive zone. Player Positions:The Circles (O) are the initial offensive team, attacking the net in their zone.The X's (X) are the defenders, working to create a turnover and transition to offense.Additional players line up just inside the zone, ready to rotate in. The Circles (O) are the initial offensive team, attacking the net in their zone. The X's (X) are the defenders, working to create a turnover and transition to offense. Additional players line up just inside the zone, ready to rotate in.",[],['Can play 2 on 2 or 3 on 3.'],"['2 on 2', 'Backchecking', 'Defensive', 'Half Ice', 'Offensive', 'Small Area Games', 'Transition']",True,"['Forward', 'Defence']",Neutral Zone,Offensive Zone,"['Small Area Game', 'Transition']","['Skating', 'Passing', 'Shooting', 'Stickhandling', 'Positioning', 'Communication']",Intermediate
Turn & Burn,https://www.files.icehockeysystems.com/files/drills/drill-maker-5992251-0-1737558845.png,https://vimeo.com/1037508371?share=copy,IHS,,Cail MacLean,"The Turn & Burn drill from Cail MacLean allows teams to practice high tempo 3 on 2's, transitions, gaps, zone entries and tracking.","Forwards on the blueline against the boards. Defenders can line up with them as well. To start the drill two defenders should be at the blueline. Part 1 - first whistle:A coach places a puck in the neutral zone, and three forwards race to get the puck. They should be aware of each other and communicate so that they can each fill a lane and not all be on one side of the ice.At this time the defenders gap up and decide to skate backwards or surf and angle the play.Forwards work together to get the puck to the middle of the ice, enter the zone on sides, attack the net and try to score. Defenders work to kill the play. A coach places a puck in the neutral zone, and three forwards race to get the puck. They should be aware of each other and communicate so that they can each fill a lane and not all be on one side of the ice. At this time the defenders gap up and decide to skate backwards or surf and angle the play. Forwards work together to get the puck to the middle of the ice, enter the zone on sides, attack the net and try to score. Defenders work to kill the play. Part 2 - second whistle:A coach from inside the zone skates hard to the blue line and the 3 forwards that were trying to score, track and strip the puck from the coach, get onside, and work to transition back to offense on a 3 on 2 against the same defenders that are gapping up on them.Play out the 3 on 2 and then the next rep the forwards should come from the other side of the ice. A coach from inside the zone skates hard to the blue line and the 3 forwards that were trying to score, track and strip the puck from the coach, get onside, and work to transition back to offense on a 3 on 2 against the same defenders that are gapping up on them. Play out the 3 on 2 and then the next rep the forwards should come from the other side of the ice.","['Forwards should work to get the puck to the middle of the ice as they are attacking and entering the zone. They should communicate with each other and fill in lanes to be support options.', 'Defenders should work on proper gaps and angles while keeping their sticks on the ice to block passing lanes.']",['Coaches can place the puck in different areas of the ice.'],"['3 on 2', 'Backchecking', 'Defensive', 'Gap', 'Neutral Zone', 'Offensive', 'Transition', 'Zone Entry']",True,"['Forward', 'Defence']",Neutral Zone,Offensive Zone,"['Zone Entry', 'Transition']","['Skating', 'Passing', 'Shooting', 'Communication']",Intermediate
